Title	EN	DE	DE sentence_id
Ins_LearningMobility	The 2011 Council conclusions on a benchmark for learning mobility (2011/C372/08) invite the Commission to: 'report back to the Council by the end of 2015, with a view to reviewing and, if necessary, revising the European benchmark on learning mobility.'	In seinen Schlussfolgerungen zu einer Benchmark für die Lernmobilität (2011/C 372/08) fordert der Rat die Kommission auf, „dem Rat bis Ende 2015 über die Ergebnisse im Hinblick auf eine Überprüfung und gegebenenfalls Überarbeitung der [...] europäischen Benchmark Bericht zu erstatten“.	4
Ins_LearningMobility	The Council conclusions also request the Commission and the Member States to carry out a number of other actions, in particular in regard to indicators on student, youth and teacher mobility. However, there is no obligation to report back to the Council linked to these actions. They are described in more detail in separate available Commission documentation.	Der Rat fordert die Kommission und die Mitgliedstaaten außerdem zur Durchführung einer Reihe weiterer Maßnahmen auf, die sich insbesondere auf Indikatoren für die Mobilität von Studentinnen und Studenten, jungen Menschen und Lehrkräften beziehen. Im Zusammenhang mit diesen Maßnahmen besteht jedoch keine Verpflichtung zur Berichterstattung an den Rat. Hierzu stehen separate Unterlagen der Kommission zur Verfügung, in denen die Maßnahmen eingehender beschrieben werden.	5,6
Ins_LearningMobility	The background to the 2011 Council conclusions is the Strategic Framework on European Cooperation in Education and Training 2020 which invites the Commission 'to submit a proposal for a benchmark in this area by the end 2010, focusing initially on physical mobility between countries in the field of higher education...'. The Council conclusions were preceded by the Commission staff working document of 24 May 2011 on the development of benchmarks on education for employability and on learning mobility (doc. 10697/11).	Hintergrund der Schlussfolgerungen des Rates von 2011 ist der strategische Rahmen für die europäische Zusammenarbeit auf dem Gebiet der allgemeinen und beruflichen Bildung 2020, in dem die Kommission ersucht wird, „bis Ende 2010 einen Vorschlag für eine Benchmark in diesem Bereich vorzulegen, der sich zunächst auf die physische Mobilität zwischen Ländern im Bereich der Hochschulbildung konzentrieren [...] sollte.“ Den Schlussfolgerungen des Rates ging eine Arbeitsunterlage der Kommissionsdienststellen vom 24. Mai 2011 zur Entwicklung von Benchmarks zu Bildung für Beschäftigungsfähigkeit und zu Mobilität zu Lernzwecken (Dok. 10697/11) voraus.	7,8,9
Ins_LearningMobility	This report fulfils the obligation of reporting back to the Council on the progress made regarding the mobility benchmark with a view to continuing the work towards 2020.	Mit dem vorliegenden Bericht wird die Verpflichtung zur Berichterstattung an den Rat über die erzielten Fortschritte bei der Mobilitätsbenchmark im Hinblick auf die Fortsetzung der Arbeit bis 2020 eingelöst.	10,11
Ins_LearningMobility	The learning mobility benchmark consists of two indicators and is defined in the annex of the 2011 conclusions as:	Die aus zwei Indikatoren bestehende Benchmark für die Lernmobilität wird im Anhang der Schlussfolgerungen von 2011 folgendermaßen definiert:	11
Ins_LearningMobility	- 'By 2020, an EU average of at least 20% of higher education graduates should have had a period of higher education-related study or training (including work placements) abroad, representing a minimum of 15 ECTS credits or lasting a minimum of 3 months.'	– „Bis 2020 sollten in der EU durchschnittlich mindestens 20 % der Hochschulabsolventen eine Studien- oder Ausbildungsphase (einschließlich Praktika) im Ausland absolviert haben, die mindestens 15 ECTS-Leistungspunkte abdeckt oder eine Mindestdauer von 3 Monaten umfasst.“	12
Ins_LearningMobility	- 'By 2020, an EU average of at least 6% of 18-34 year-olds with an initial vocational education and training qualification should have had an initial VET-related study or training period (including work placements) abroad lasting a minimum of 2 weeks, or less if documented by Europass.'	– „Bis 2020 sollten in der EU durchschnittlich mindestens 6 % der 18- bis 34-Jährigen mit abgeschlossener beruflicher Erstausbildung eine mit der Berufsausbildung zusammenhängende Ausbildungsphase (einschließlich Praktika) von mindestens zwei Wochen oder, sofern im ‚Europass‘ verzeichnet, auch von kürzerer Dauer im Ausland absolviert haben.“	12
Ins_LearningMobility	The focus of the benchmark is on outward mobility: in other words, the extent to which individuals go abroad to gain learning experiences and qualifications. Within the EU, this objective is linked to the EU basic principles of the free movement of people and work within the internal market.	Der Schwerpunkt der Benchmark liegt auf der ausgehenden Mobilität, mit anderen Worten auf dem Ausmaß, in dem Menschen ins Ausland gehen, um Lernerfahrungen und Qualifikationen zu erwerben. Innerhalb der EU steht dieses Ziel mit den Grundsätzen der Freizügigkeit von Personen und Arbeitskräften im Binnenmarkt in Verbindung.	13,14,15
Ins_LearningMobility	The EU benchmark measures the number of graduates who have both been mobile during their studies and have successfully completed their qualifications. It does not directly specify a geographical area, but the 2011 Conclusions underline that: 'learning mobility is defined as physical mobility and takes worldwide mobility into account'. The measurement of the IVET mobility benchmark indicator is in practice limited by the instrument implied in the Conclusions (a household survey of a specified broad age group), whereas the source for the higher education benchmark indicator is not specified.	Die EU-Benchmark misst die Zahl der Absolventen, die während ihres Studiums mobil waren und ihre Qualifikation erfolgreich abgeschlossen haben. Sie hat keinen direkten Bezug zu einem geografischen Gebiet, in den Schlussfolgerungen von 2011 wird jedoch betont: „Lernmobilität bedeutet physische Mobilität einschließlich weltweiter Mobilität.“ Die Messung des Indikators der Benchmark für die Mobilität in der Berufsausbildung wird in der Praxis durch das in den Schlussfolgerungen genannte Instrument (eine Haushaltserhebung bei einer bestimmten, breit angelegten Altersgruppe) begrenzt, während die Quelle für den Indikator im Bereich der Hochschulbildung nicht festgelegt ist.	16,17,18
Lit_NorthWind	The North Wind and the Sun	Der Nordwind und die Sonne	0
Lit_NorthWind	The North Wind and the Sun were arguing about which one of them was stronger, when a traveler came by wearing a heavy coat.	Einst stritten sich Nordwind und Sonne, wer von ihnen beiden wohl der Stärkere wäre, als ein Wanderer, der in einen warmen Mantel gehüllt war, des Weges daherkam.	0
Lit_NorthWind	They agreed that whoever got the traveler to take off his coat first would be considered stronger.	Sie wurden einig, dass derjenige für den Stärkeren gelten sollte, der den Wanderer zwingen würde, seinen Mantel abzunehmen.	1
Lit_NorthWind	The North Wind blew as hard as he could, but the harder he blew, the tighter the traveler wrapped his coat around him, and finally the North Wind had to give up.	Der Nordwind blies mit aller Macht, aber je mehr er blies, desto fester hüllte sich der anderer in seinen Mantel ein. Endlich gab der Nordwind den Kampf auf. Nun erwärmte die Sonne die Luft mit ihren	2,3
Lit_NorthWind	Then the sun began to shine, and the traveler immediately took off his coat.	freundlichen Strahlen, und schon nach wenigen Augenblicken zog der Wanderer seinen Mantel aus.	4
Lit_NorthWind	And so the North Wind had to admit that the Sun was stronger.	Da musste der Nordwind zugeben, dass die Sonne von ihnen beiden der Stärkere war.	5
Ins_HumanRights	Universal Declaration of Human Rights - Preamble	Die Allgemeine Erklärung der Menschenrechte - Präambel	0
Ins_HumanRights	Whereas recognition of the inherent dignity and of the equal and inalienable rights of all members of the human family is the foundation of freedom, justice and peace in the world,	Da die Anerkennung der angeborenen Würde und der gleichen und unveräußerlichen Rechte aller Mitglieder der Gemeinschaft der Menschen die Grundlage von Freiheit, Gerechtigkeit und Frieden in der Welt bildet,	0
Ins_HumanRights	Whereas disregard and contempt for human rights have resulted in barbarous acts which have outraged the conscience of mankind, and the advent of a world in which human beings shall enjoy freedom of speech and belief and freedom from fear and want has been proclaimed as the highest aspiration of the common people,	da die Nichtanerkennung und Verachtung der Menschenrechte zu Akten der Barbarei geführt haben, die das Gewissen der Menschheit mit Empörung erfüllen, und da verkündet worden ist, daß einer Welt, in der die Menschen Rede- und Glaubensfreiheit und Freiheit von Furcht und Not genießen, das höchste Streben des Menschen gilt,	0
Ins_HumanRights	Whereas it is essential, if man is not to be compelled to have recourse, as a last resort, to rebellion against tyranny and oppression, that human rights should be protected by the rule of law,	da es notwendig ist, die Menschenrechte durch die Herrschaft des Rechtes zu schützen, damit der Mensch nicht gezwungen wird, als letztes Mittel zum Aufstand gegen Tyrannei und Unterdrückung zu greifen,	0
Ins_HumanRights	Whereas it is essential to promote the development of friendly relations between nations,	da es notwendig ist, die Entwicklung freundschaftlicher Beziehungen zwischen den Nationen zu fördern,	N/A
Ins_HumanRights	Whereas the peoples of the United Nations have in the Charter reaffirmed their faith in fundamental human rights, in the dignity and worth of the human person and in the equal rights of men and women and have determined to promote social progress and better standards of life in larger freedom,	da die Völker der Vereinten Nationen in der Charta ihren Glauben an die grundlegenden Menschenrechte, an die Würde und den Wert der menschlichen Person und an die Gleichberechtigung von Mann und Frau erneut bekräftigt und beschlossen haben, den sozialen Fortschritt und bessere Lebensbedingungen in größerer Freiheit zu fördern,	0
Ins_HumanRights	Whereas Member States have pledged themselves to achieve, in co-operation with the United Nations, the promotion of universal respect for and observance of human rights and fundamental freedoms,	da die Mitgliedstaaten sich verpflichtet haben, in Zusammenarbeit mit den Vereinten Nationen auf die allgemeine Achtung und Einhaltung der Menschenrechte und Grundfreiheiten hinzuwirken,	0
Ins_HumanRights	Whereas a common understanding of these rights and freedoms is of the greatest importance for the full realization of this pledge,	da ein gemeinsames Verständnis dieser Rechte und Freiheiten von größter Wichtigkeit für die volle Erfüllung dieser Verpflichtung ist,	0
Ins_HumanRights	Now, therefore, The General Assembly, proclaims this Universal Declaration of Human Rights as a common standard of achievement for all peoples and all nations, to the end that every individual and every organ of society, keeping this Declaration constantly in mind, shall strive by teaching and education to promote respect for these rights and freedoms and by progressive measures, national and international, to secure their universal and effective recognition and observance, both among the peoples of Member States themselves and among the peoples of territories under their jurisdiction.	verkündet die Generalversammlung diese Allgemeine Erklärung der Menschenrechte als das von allen Völkern und Nationen zu erreichende gemeinsame Ideal, damit jeder einzelne und alle Organe der Gesellschaft sich diese Erklärung stets gegenwärtig halten und sich bemühen, durch Unterricht und Erziehung die Achtung vor diesen Rechten und Freiheiten zu fördern und durch fortschreitende nationale und internationale Maßnahmen ihre allgemeine und tatsächliche Anerkennung und Einhaltung durch die Bevölkerung der Mitgliedstaaten selbst wie auch durch die Bevölkerung der ihrer Hoheitsgewalt unterstehenden Gebiete zu gewährleisten.	0
Lit_Solaris	Solaris - Chapter 2: The Solarists	Solaris - Kapitel 2: Die Solaristen	0
Lit_Solaris	The discovery of Solaris dated from about 100 years before I was born.	Die Entdeckung der Solaris erfolgte nahezu hundert Jahre, bevor ich geboren wurde.	0
Lit_Solaris	The planet orbits two suns: a red sun and a blue sun. For 45 years after its discovery, no spacecraft had visited Solaris. At that time, the Gamow-Shapley theory — that life was impossible on planets which are satellites of two solar bodies — was firmly believed. The orbit is constantly being modified by variations in the gravitational pull in the course of its revolutions around the two suns.	Der Planet kreist um zwei Sonnen, eine rote und eine blaue. Über vierzig Jahre lang näherte sich ihm kein Raumschiff, die Gamov-Shapleysche Theorie über die Unmöglichkeit der Entstehung von Leben auf Planeten von Doppelsternen galt damals für erwiesen. Die Bahnen solcher Planeten ändern sich unentwegt infolge des Wechselspiels der Massenanziehungen, das vor sich geht, während die beiden Sonnen einander umkreisen.	1,2,3
Lit_Solaris	Due to these fluctuations in gravity, the orbit is either flattened or distended and the elements of life, if they appear, are inevitably destroyed, either by intense heat or an extreme drop in temperature. These changes take place at intervals estimated in millions of years — very short intervals, that is, according to the laws of astronomy and biology (evolution takes hundreds of millions of years if not a billion).	Die entstehenden Perturbationen kürzen und längen abwechselnd die Bahn des Planeten, und sollten Urkeim e von Leben entstehen, so unterliegen sie der Zerstörung durch glutheiße Strahlung oder auch durch eisige Kälte. Diese Änderungen vollziehen sich im Zeitraum von Jahrmillionen, also der astronomischen oder biologischen Größenordnung nach (da die Evolution hunderte Millionen, wenn nicht eine Milliarde von Jahren erfordert) - in sehr kurzer Zeit.	4,5
Lit_Solaris	According to the earliest calculations, in 500,000 years’ time Solaris would be drawn one half of an astronomic unit nearer to its red sun, and a million years after that would be engulfed by the incandescent star.	Nach den ursprünglichen Berechnungen sollte sich die Solaris im Lauf von fünfhunderttausend Jahren bis auf die Distanz von einer halben astronomischen Einheit ihrer roten Sonne nähern und nach einer weiter en Million - in ihren Glutenabgrund stürzen.	6
Lit_Solaris	The observations and calculations were reworked with great precision; they simply confirmed the original conclusions: Solaris’s orbit was unstable.	Man wiederholte, nun schon mit höchster Genauigkeit, die Beobachtungen und Messungen, die nur bestätigten, was bekannt war: die Solaris besitzt eine unbeständige Umlaufbahn.	8
Lit_Solaris	A modest item among the hundreds of planets discovered annually — to which official statistics devoted only a few lines defining the characteristics of their orbits — Solaris eventually began to attract special attention and attain a high rank.	Von einem unter etlichen hundert neuentdeckten Planeten pro Jahr, die mit Notizen von ein paar Zeilen, mit Angabe der Elemente ihrer Bewegung, in die großen Statistiken einbezogen werden, avancierte die Solaris nun in den Rang eines besonderer Beachtung würdigen Himmelskörpers.	9
Lit_Solaris	Four years after this promotion, overflying the planet with the Laakon and two auxiliary craft, the Ottenskjold expedition undertook a study of Solaris. This expedition being in the nature of a preliminary, not to say improvised reconnaissance, the scientists were not equipped for a landing. Ottenskjold placed a quantity of automatic observation satellites into equatorial and polar orbit, their principal function being to measure the gravitational pull.	Und so kreiste denn an die vier Jahre nach dieser Entdeckung Ottenskjolds Expedition um den Planeten und untersuchte ihn vom Laokoon und von zwei Begleitschiffen aus. Diese Expedition hatte den Charakter provisorischer, improvisierter Auskundschaftung, zumal da sie nicht zum Landen ausgerüstet war. Sie brachte in Äquator- und Pol-Umlaufbahnen eine größere Anzahl von Beobachtungssatelliten an, deren Hauptaufgabe die Messung der Gravitationspotentiale war.	10,12
Lit_Solaris	In addition, a study was made of the planet’s surface, which is covered by an ocean dotted with innumerable flat, low-lying islands whose combined area is less than that of Europe, although the diameter of Solaris is a fifth greater than Earth’s. These expanses of barren, rocky territory, irregularly distributed, are largely concentrated in the southern hemisphere. At the same time the composition of the atmosphere — devoid of oxygen — was analyzed, and precise measurements made of the planet’s density, from which its albedo and other astronomical characteristics were determined. As was foreseeable, no trace of life was discovered, either on the islands or in the ocean.	Überdies wurden die fast gänzlich vom Ozean bedeckte Planetenoberfläche und die wenigen aus seinem Niveau herausragenden Hochebenen erforscht. Diese erreichen insgesamt nicht den Flächeninhalt Europas, obwohl die Solaris um zwanzig Prozent größeren Durchmesser hat als die Erde. Diese unregelmäßig verstreuten Brocken von felsigem und ödem Land häufen sich vor allem auf der Südhalbkugel. Man stellte auch die Zusammensetzung der Atmosphäre fest, die keinen Sauerstoff enthält, und maß überaus genau die Dichte des Planeten sowie die Albedo und andere astronomische Elemente. Wie erwartet, wurden keine Spuren von Leben aufgefunden, weder an Land, noch gewahrte man welche am Ozean.	13,14,15,16,17
Lit_Solaris	During the following ten years, Solaris became the center of attraction for all observatories concerned with the study of this region of space, for the planet had in the meantime shown the astonishing faculty of maintaining an orbit which ought, without any shadow of doubt, to have been unstable. The problem almost developed into a scandal: since the results of the observations could only be inaccurate, attempts were made (in the interests of science) to denounce and discredit various scientists or else the computers they used.	Während weiterer zehn Jahre zeigte die Solaris, nun schon im Zentrum der Aufmerksamkeit aller Observatorien dieses Bereichs, erstaunliche Tendenz zur Beibehaltung ihrer außer allem Zweifel gravitationsmäßig unbeständigen Umlaufbahn. Eine Zeit lang roch die Angelegenheit nach Skandal, denn die Schuld an einem solchen Beobachtungsergebnis suchte man (immer aus Sorge um das Wohl der Wissenschaft) bald auf bestimmte Leute zu schieben, bald auf die Rechenanlagen, deren sie sich bedienten.	18,19
Lit_Solaris	Lack of funds delayed the departure of a proper Solaris expedition for three years. Finally Shannahan assembled his team and obtained three C-tonnage vessels from the Institute, the largest starships of the period. A year and a half before the arrival of the expedition, which left from the region of Alpha in Aquarius, a second exploration fleet, acting in the name of the Institute, placed an automatic satellite — Luna 247 — into orbit around Solaris.	Der Mangel an Geldmitteln zögerte die Entsendung einer eigentlichen Solaris-Expedition weitere drei Jahre hinaus, bis zu dem Zeitpunkt, da Shannahan die Besatzung komplett hatte und vom Institut drei Einheiten der Tonnage C, Kosmodromklasse, erlangte. Anderthalb Jahre vor Eintreffen der Expedition, die vom Gebiet des Alpha des Wassermanns aus startete, brachte von seiten des Instituts eine zweite Explorationsflotte ein automatisches Satelloid, Luna 247, in eine Solaris-Umlaufbahn.	20,21
Lit_Solaris	This satellite, after three successive reconstructions at roughly ten-year intervals, is still functioning today. The data it supplied confirmed beyond doubt the findings of the Ottenskjold expedition concerning the active character of the ocean’s movements.	Nach dreijahrzehntelang auseinanderliegenden Rekonstruktionen arbeitet dieses Satelloid heute noch. Die Daten, die es sammelte, bestätigten endgültig, was Ottenskjolds Expedition wahrgenommen hatte: den aktiven Charakter der Ozeanbewegungen.	22,23
Lit_Solaris	One of Shannahan’s ships remained in orbit, while the two others, after some preliminary attempts, landed in the southern hemisphere, in a rocky area about 600 miles square. The work of the expedition lasted eighteen months and was carried out under favorable conditions, apart from an unfortunate accident brought about by the malfunction of some apparatus. In the meantime, the scientists had split into two opposing camps; the bone of contention was the ocean. On the basis of the analyses, it had been accepted that the ocean was an organic formation (at that time, no one had yet dared to call it living).	Ein Schiff Shannahans verblieb auf einer hohen Umlaufbahn, zwei dagegen landeten nach einleitenden Vorbereitungen auf einem felsigen Stück Land, das beim Südpol der Solaris etwa sechshundert Quadratmeilen einnimmt. Die Arbeiten der Expedition waren nach achtzehn Monaten beendet und verliefen günstig, bis auf einen Unglücksfall, der durch Fehlfunktion der Apparate verursacht wurde. Innerhalb des Wissenschaftlerteams kam es jedoch zur Aufspaltung in zwei gegnerische Lager. Zum Gegenstand des Streits wurde der Ozean. Auf Grund der Analysen wurde er als organisches Gebilde erkannt (ihn lebendig zu nennen, wagte damals noch niemand).	24,25,26,27,28
Lit_Solaris	But, while the biologists considered it as a primitive formation — a sort of gigantic entity, a fluid cell, unique and monstrous (which they called ‘prebiological’), surrounding the globe with a colloidal envelope several miles thick in places — the astronomers and physicists asserted that it must be an organic structure, extraordinarily evolved. According to them, the ocean possibly exceeded terrestrial organic structures in complexity, since it was capable of exerting an active influence on the planet’s orbital path.	Während jedoch die Biologen in ihm ein primitives Gebilde sahen - eine Art gigantischen Verband, also gleichsam eine einzige monströs auseinandergewachsene flüssige Zelle (aber sie nannten ihn `präbiologische Formation´), die den ganzen Globus mit einem gallertigen, stellenweise eine Tiefe von mehreren Meilen erreichenden Mantel überzogen hat - behaupteten Astronomen und Physiker, das müsse eine außerordentlich hoch organisierte Struktur sein, die möglicher weise an Verschlungenheit des Aufbaus die irdischen Organismen übertreffe, da sie doch imstande sei, aktiv die Ausformung der Planetenbahn zu beeinflussen.	29
Lit_Solaris	Certainly, no other factor could be found that might explain the behavior of Solaris; moreover, the planetophysicists had established a relationship between certain processes of the plasmic ocean and the local measurements of gravitational pull, which altered according to the ‘matter transformations’ of the ocean.	Es wurde nämlich keinerlei andere Ursache entdeckt, die das Verhalten der Solaris erklärt hätte; überdies fanden die Planetarphysiker eine Beziehung zwischen bestimmten Prozessendes Plasma-Ozeans und dem örtlich gemessenen Gravitationspotential, das sich in Abhängigkeit vom Ozean-eigenen ` Stoffwechsel´ änderte.	30
Lit_Solaris	Consequently it was the physicists, rather than the biologists, who put forward the paradoxical formulation of a ‘plasmic mechanism,’ implying by this a structure, possibly without life as we conceive it, but capable of performing functional activities — on an astronomic scale, it should be emphasized.	So brachten also Physiker und nicht Biologen die paradoxe Formulierung `plasmatische Maschine´ vor; darunter verstanden sie ein Gebilde, in unserem Sinne vielleicht auch unbelebt, doch fähig, zielbezogene Tätigkeiten zu unternehmen - fügen wir gleich hinzu: in astronomischer Größenordnung.	31
Lit_Solaris	It was during this quarrel, whose reverberations soon reached the ears of the most eminent authorities, that the Gamow-Shapley doctrine, unchallenged for eighty years, was shaken for the first time.	In diesem Streit, der innerhalb von Wochen die bedeutendsten Autoritäten sämtlich in seinen Wirbel hineinzog, geriet zum ersten Mal seit achtzig Jahren die Gamov-Shapleysche Doktrin ins Wanken.	32
Lit_Solaris	N/A	Solchem Konservatismus zum Trotz erwuchsen Hypothesen, wie etwa eine der besser ausgearbeiteten, von Civito und Vitta, der Ozean sei das Ergebnis dialektischer Entwicklung: aus seiner Vorform, dem Ur-Ozean, einer Lösung träge reagierender chemischer Körper, vermochte er unter dem Druck der Verhältnisse (das heißt, der Bahnänderungen, die seine Existenz bedrohten) ohne alle Zwischenstufen irdischer Entwicklung, also ohne das Entstehen von Ein- und Vielzellern, ohne pflanzliche und tierische Evolution, ohne das Auftreten von Nervensystem und Gehirn, gleich in das Stadium des `homöostatischen Ozeans´ umzuspringen. Das heißt mit anderen Worten, daß er sich nicht wie die irdischen Organismen hunderte Jahrmillionen lang an die Umwelt anpaßte, um erst nach einer so enormen Zeitspanne eine intelligente Rasse zu erzeugen, sondern sofort seine Umwelt bewältigte.	33,34,35
Lit_Solaris	N/A	Das war durchaus originell, bloß wußte weiterhin niemand, wie eine sirupartige Gallerte die Bahn eines Himmelskörpers stabilisieren kann. Seit fast hundert Jahren kannte man Anlagen zur Herstellung künstlicher Kraft- und Schwerefelder, die Gravitoren, aber niemand konnte sich auch nur vorstellen, wie ein Resultat, das - in den Gravitoren ñ das Ergebnis komplizierter Kernreaktionen und enormer Temperaturen ist, von einem gestaltlosen Brei zustande gebracht werden kann. In den Zeitungen, die damals zur Kurzweil der Leser und zum Grauen der Wissenschaftler nur so strotzten von hanebüchenen Schwindeleien zum Thema `Geheimnis der Solaris´, fehlte es auch nicht an Behauptungen, der planetare Ozean sei ... ein entfernter Verwandter der irdischen elektrischen Zitteraale.	36,37,38
Lit_Solaris	N/A	Als es gelang, das Problem zumindest einigermaßen zu entwirren, erwies sich, daß die Erklärung, wie dies bei der Solaris später noch oft vorkam, an die Stelle eines Rätsels ein anderes, vielleicht noch erstaunlicheres, setzte.	39
Lit_Solaris	N/A	Die Untersuchungen ergaben, daß der Ozean keineswegs nach dem Prinzip unserer Gravitoren funktioniert (was im übrigen unmöglich wäre), sondern direkt die Raum-Zeit-Metrik zu modellieren vermag, was unter anderem zu Abweichungen in der Zeitmessung an einem und demselben Längengrad der Solaris führt. Demnach kannte der Ozean nicht nur in gewissem Sinne die Einstein-Boevische Theorie, sondern vermochte sogar (was man von uns nicht sagen kann), ihre Konsequenzen zu nutzen.	40,41
